City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,namibe,-15.1961,12.1522,19.43,80,0,3.3,AO,1685140744
211,hilo,19.7297,-155.09,26.82,75,75,3.6,US,1685140470
212,am timan,11.0297,20.2827,31.3,45,64,4.38,TD,1685140744
213,vorgashor,67.5833,63.95,15.21,81,98,5.85,RU,1685140745
214,hamilton,39.1834,-84.5333,25.05,22,0,7.2,US,1685140745
215,constantia,44.1833,28.65,16.5,90,62,1.91,RO,1685140519
216,smara,26.7384,-11.6719,20.5,56,99,5.45,EH,1685140745
217,dibba al-hisn,25.6196,56.2729,27.1,49,10,6.55,AE,1685140745
218,ellenabad,29.45,74.65,24.99,67,96,7.03,IN,1685140746
219,oranjemund,-28.55,16.4333,11.34,79,1,2.33,NA,1685140746
220,kovdor,67.5662,30.4758,2.27,68,63,2.43,RU,1685140746
221,robertsport,6.7533,-11.3686,27.16,80,91,3.1,LR,1685140746
222,nagqu,31.5,92.0,3.42,60,98,3.62,CN,1685140746
223,sidi bou ali,35.9567,10.4731,19.84,72,20,3.09,TN,1685140746
224,eyl,7.9803,49.8164,27.45,78,96,8.29,SO,1685140747
225,hastings,50.8552,0.5729,11.62,43,18,7.78,GB,1685140747
226,isangel,-19.55,169.2667,24.65,64,6,2.74,VU,1685140668
227,ar ruways,24.1103,52.7306,30.72,50,71,1.39,AE,1685140747
228,north las vegas,36.1989,-115.1175,33.5,9,0,4.63,US,1685140747
229,nalut,30.3333,10.85,17.42,63,7,5.51,LY,1685140747
230,zhuzhou,27.8333,113.15,26.07,89,51,2.01,CN,1685140747
231,nadi,-17.8,177.4167,26.0,57,20,1.03,FJ,1685140748
232,sur,22.5667,59.5289,33.31,45,1,7.29,OM,1685140748
233,daru,-9.0763,143.2092,25.72,88,100,5.9,PG,1685140748
234,poso,-1.3959,120.7524,27.97,70,95,1.27,ID,1685140748
235,pontianak,-0.0333,109.3333,25.99,94,20,0.0,ID,1685140748
236,kabanjahe,3.1001,98.4908,17.01,97,95,1.75,ID,1685140749
237,luganville,-15.5333,167.1667,26.33,54,16,2.23,VU,1685140749
238,al ghayzah,16.2079,52.176,28.97,70,81,3.09,YE,1685140749
239,anadyr,64.75,177.4833,4.28,81,75,6.0,RU,1685140749
240,atafu village,-8.5421,-172.5159,28.36,71,57,2.13,TK,1685140749
241,kavaratti,10.5669,72.642,29.36,73,12,3.95,IN,1685140749
242,kapuskasing,49.4169,-82.4331,28.05,23,100,5.14,CA,1685140518
243,kirkwall,58.9848,-2.9587,11.09,87,75,3.09,GB,1685140750
244,arvayheer,46.2639,102.775,4.36,85,62,1.41,MN,1685140750
245,ocean shores,46.9737,-124.1563,20.21,87,20,7.2,US,1685140750
246,bhatgaon,21.15,81.7,29.9,33,1,2.69,IN,1685140750
247,kotel,42.8833,26.45,12.9,93,99,2.43,BG,1685140750
248,karabudakhkent,42.7087,47.5673,17.7,88,100,3.0,RU,1685140750
249,kodiak,57.79,-152.4072,8.73,71,100,4.63,US,1685140751
250,midvagur,62.0511,-7.1939,9.46,100,100,6.17,FO,1685140751
251,flying fish cove,-10.4217,105.6791,25.82,88,100,5.14,CX,1685140751
252,houma,29.5958,-90.7195,29.44,45,0,4.12,US,1685140751
253,mizdah,31.4451,12.9801,15.95,79,5,3.36,LY,1685140751
254,turinskaya sloboda,57.6232,64.3858,14.3,65,66,2.67,RU,1685140756
255,yima,34.7381,111.8839,16.13,94,100,2.28,CN,1685140756
256,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,47,40,4.0,RU,1685140757
257,fortuna,40.5982,-124.1573,17.74,79,20,5.14,US,1685140757
258,howrah,22.5892,88.3103,24.0,88,20,3.09,IN,1685140757
259,nova vicosa,-17.8919,-39.3719,23.6,73,36,4.31,BR,1685140757
260,zhongxing,33.7039,118.6792,21.81,91,99,4.23,CN,1685140757
261,uturoa,-16.7333,-151.4333,27.58,73,25,7.08,PF,1685140757
262,isafjordur,66.0755,-23.124,3.1,99,100,5.89,IS,1685140758
263,vikulovo,56.8167,70.6107,10.45,61,79,1.0,RU,1685140758
264,ertil',51.8406,40.8056,14.54,94,91,2.96,RU,1685140758
265,kristinestad,62.2743,21.376,6.72,72,44,6.83,FI,1685140758
266,carnarvon,-24.8667,113.6333,18.53,42,100,6.28,AU,1685140694
267,qaqortoq,60.7167,-46.0333,1.32,88,100,0.06,GL,1685140758
268,al hadd,26.2456,50.6542,31.99,62,0,2.06,BH,1685140759
269,yamada,39.4667,141.95,19.15,67,13,2.03,JP,1685140759
270,partanna,37.7278,12.8885,18.1,81,89,2.24,IT,1685140759
271,coquimbo,-29.9533,-71.3436,15.85,77,0,4.63,CL,1685140711
272,alofi,-19.0595,-169.9187,24.94,73,100,5.14,NU,1685140759
273,tyukalinsk,55.8732,72.1967,9.44,62,59,0.35,RU,1685140759
274,vilyuysk,63.7553,121.6247,6.9,54,65,3.85,RU,1685140759
275,kalabo,-14.97,22.6814,16.2,37,0,1.79,ZM,1685140760
276,mount pleasant,32.7941,-79.8626,15.17,96,40,6.69,US,1685140760
277,tolanaro,-25.0319,46.9987,21.04,88,20,6.17,MG,1685140760
278,turpan,42.9333,89.1667,22.61,23,53,0.62,CN,1685140760
279,urzhar,47.093,81.6294,12.23,61,33,1.88,KZ,1685140760
280,galveston,29.3669,-94.9669,32.06,47,0,3.6,US,1685140711
281,enewetak,11.3474,162.3373,27.81,78,97,6.85,MH,1685140761
282,kokoda,-8.8785,147.7407,27.48,78,55,0.41,PG,1685140761
283,guerrero negro,27.9769,-114.0611,18.36,63,98,9.24,MX,1685140761
284,mutare,-18.9707,32.6709,13.17,83,0,1.06,ZW,1685140761
285,manaure,11.7751,-72.4445,28.62,75,99,3.48,CO,1685140761
286,nola,40.922,14.5329,20.91,89,100,1.63,IT,1685140761
287,mount pearl,47.5166,-52.7813,10.19,97,100,5.14,CA,1685140519
288,lucea,18.451,-78.1736,29.92,69,8,3.6,JM,1685140761
289,itoman,26.1247,127.6694,24.01,88,75,4.12,JP,1685140762
290,xinyuan,37.3,99.0,0.95,96,100,1.25,CN,1685140762
291,bamboo flat,11.7,92.7167,27.05,89,20,1.03,IN,1685140762
292,charters towers,-20.1,146.2667,17.25,36,2,7.1,AU,1685140762
293,fort mcmurray,56.7268,-111.381,22.77,35,40,3.09,CA,1685140653
294,kwaksan,39.6875,125.0828,16.76,76,99,2.87,KP,1685140762
295,salinopolis,-0.6136,-47.3561,26.37,85,54,4.44,BR,1685140538
296,pangody,65.85,74.4859,12.18,53,92,8.04,RU,1685140517
297,bodo,67.28,14.405,3.03,88,75,6.17,NO,1685140522
298,mejit,10.2753,170.8646,25.6,84,100,9.17,MH,1685140763
299,kapa'a,22.0752,-159.319,27.18,65,20,6.17,US,1685140763
300,cheste,39.4833,-0.6833,17.12,88,20,2.57,ES,1685140763
301,riberalta,-10.9833,-66.1,29.11,74,75,0.0,BO,1685140763
302,quellon,-43.1167,-73.6167,7.14,76,0,2.57,CL,1685140763
303,honggang,46.4667,124.8667,18.32,17,92,4.2,CN,1685140763
304,hammerfest,70.6634,23.6821,1.25,86,75,9.26,NO,1685140763
305,beichengqu,40.4394,113.1536,14.28,61,100,4.67,CN,1685140764
306,sparti,37.0733,22.4297,19.42,81,89,1.77,GR,1685140764
307,trail,49.0998,-117.7022,22.55,46,70,0.81,CA,1685140764
308,fale old settlement,-9.3852,-171.2468,28.55,70,63,1.93,TK,1685140764
309,vernon,50.2581,-119.2691,29.61,28,0,0.51,CA,1685140513
310,port saint john's,-31.6229,29.5448,14.76,53,53,2.88,ZA,1685140764
311,taza,34.25,-3.75,20.33,60,2,0.7,MA,1685140764
312,carepa,7.7585,-76.6525,29.88,79,75,3.09,CO,1685140765
313,chirnogi,44.1167,26.5667,19.25,88,95,1.39,RO,1685140765
314,bubaque,11.2833,-15.8333,27.75,79,87,6.06,GW,1685140765
315,lander,42.833,-108.7307,14.45,62,0,8.23,US,1685140765
316,harper,4.375,-7.7169,25.91,85,84,2.37,LR,1685140765
317,kerikeri,-35.2268,173.9474,17.73,96,100,3.18,NZ,1685140765
318,isla mujeres,21.2311,-86.731,29.03,62,28,6.58,MX,1685140766
